customer_id,cliente,segmento,porte_ou_faixa,uf,cidade,regiao_base
1,Ursula Souza,Pessoa Física,Alta,BA,Salvador,Nordeste
2,PME Cliente 002,PME,Médio,DF,Brasília,Centro-Oeste
3,Ana Pereira,Pessoa Física,Baixa,GO,Goiânia,Centro-Oeste
4,Hugo Oliveira,Pessoa Física,Alta,PE,Recife,Nordeste
5,PME Cliente 005,PME,Médio,RS,Porto Alegre,Sul
6,Eduarda Souza,Pessoa Física,Alta,PR,Curitiba,Sul
7,Enterprise Cliente 007,Enterprise,Pequeno,PR,Curitiba,Sul
8,Vinicius Ribeiro,Pessoa Física,Baixa,PR,Curitiba,Sul
9,Carla Almeida,Pessoa Física,Média,PR,Curitiba,Sul
10,Nicolas Silva,Pessoa Física,Média,PR,Curitiba,Sul
11,PME Cliente 011,PME,Pequeno,RJ,Rio de Janeiro,Sudeste
12,Ana Souza,Pessoa Física,Média,GO,Goiânia,Centro-Oeste
13,PME Cliente 013,PME,Médio,PE,Recife,Nordeste
14,Gabriela Oliveira,Pessoa Física,Média,PE,Recife,Nordeste
15,PME Cliente 015,PME,Pequeno,BA,Salvador,Nordeste
16,PME Cliente 016,PME,Pequeno,SP,São Paulo,Sudeste
17,Queila Almeida,Pessoa Física,Alta,RJ,Rio de Janeiro,Sudeste
18,Governo Cliente 018,Governo,Grande,RJ,Rio de Janeiro,Sudeste
19,Ana Ribeiro,Pessoa Física,Baixa,PA,Belém,Norte
20,PME Cliente 020,PME,Pequeno,RJ,Rio de Janeiro,Sudeste
21,Gabriela Ribeiro,Pessoa Física,Média,PA,Belém,Norte
22,Nicolas Oliveira,Pessoa Física,Alta,BA,Salvador,Nordeste
23,Olivia Almeida,Pessoa Física,Média,GO,Goiânia,Centro-Oeste
24,Isabela Silva,Pessoa Física,Média,RS,Porto Alegre,Sul
25,PME Cliente 025,PME,Pequeno,GO,Goiânia,Centro-Oeste
26,Governo Cliente 026,Governo,Médio,PR,Curitiba,Sul
27,Enterprise Cliente 027,Enterprise,Grande,DF,Brasília,Centro-Oeste
28,PME Cliente 028,PME,Grande,RS,Porto Alegre,Sul
29,Zeca Costa,Pessoa Física,Baixa,PR,Curitiba,Sul
30,Wesley Lima,Pessoa Física,Média,AM,Manaus,Norte
31,Karen Pereira,Pessoa Física,Média,DF,Brasília,Centro-Oeste
32,Enterprise Cliente 032,Enterprise,Pequeno,RS,Porto Alegre,Sul
33,Eduarda Oliveira,Pessoa Física,Média,PR,Curitiba,Sul
34,Zeca Santos,Pessoa Física,Alta,AM,Manaus,Norte
35,Daniel Souza,Pessoa Física,Alta,SP,São Paulo,Sudeste
36,PME Cliente 036,PME,Pequeno,PE,Recife,Nordeste
